asset,horizon,policy,samples,median_cagr,mean_cagr,p10_cagr,worst_cagr,median_max_drawdown,win_rate_vs_lump,median_end_value
Full-history AI/semis,1y,Trend entry 100d,453,0.5116031855966545,0.5440938881616875,-0.07620524310163489,-0.4751343674780172,-0.2737509872463857,0.024282560706401765,421323.35136512277
Full-history AI/semis,1y,Buy lower: below 100d/6m,453,0.43173707681634443,0.46490672872769623,-0.10019534563258428,-0.4768072690408478,-0.2737509872463856,0.3487858719646799,399062.5775506447
Full-history AI/semis,3y,Lump sum now,352,0.4395443697357856,0.49645810238507404,0.32533804264157395,0.21252199282295248,-0.41998141725727856,0.0,831482.1133236956
Full-history AI/semis,3y,DCA 3m,352,0.42385357727920625,0.4746900994794391,0.30351065636726415,0.18860614958903898,-0.41998141725727856,0.2727272727272727,804588.4843613153
Full-history AI/semis,3y,DCA 6m,352,0.4063391246132678,0.45309251307607246,0.2741452062900388,0.1658873255779747,-0.41998141725727844,0.20454545454545456,775260.9934843393
Full-history AI/semis,3y,DCA 12m,352,0.3885770896561659,0.41206989329480287,0.21428200970177033,0.10074610189753952,-0.4199814172572785,0.17329545454545456,746255.819301394
Full-history AI/semis,3y,50% now + DCA 6m,352,0.4225056442081009,0.469118239837416,0.2965672929856072,0.19156844148413232,-0.4158871169029587,0.17897727272727273,802305.5613299307
Full-history AI/semis,3y,70% now + buy 10% dip/6m,352,0.432981124721846,0.4863755293401588,0.3206727472496501,0.20357116133237896,-0.41998141725727856,0.4147727272727273,820161.3840633795
Full-history AI/semis,3y,Wait 5% dip/3m,352,0.4318418550414135,0.48896056620685274,0.330348233403027,0.12611112014488834,-0.41998141725727856,0.5255681818181818,818206.4865514871
Full-history AI/semis,3y,Wait 10% dip/6m,352,0.43162753354912153,0.4585401574000309,0.26035639423586765,0.12211764253778212,-0.41998141725727856,0.4147727272727273,817839.0789483226
Full-history AI/semis,3y,Wait 20% dip/12m,352,0.36311283000703287,0.356684291340435,0.1379324457885687,0.03298009005096225,-0.41998141725727856,0.2528409090909091,705949.6204844428
Full-history AI/semis,3y,Trend entry 100d,352,0.4334942692308936,0.48121419805727333,0.3100341540083952,0.21252199282295248,-0.41998141725727856,0.028409090909090908,821042.7008685574
Full-history AI/semis,3y,Buy lower: below 100d/6m,352,0.41948242572963657,0.45482378232181797,0.2583687859156492,0.15805532690272228,-0.41998141725727856,0.32670454545454547,797200.9210424556
Full-history AI/semis,5y,Lump sum now,251,0.4997342875898332,0.4722002034837942,0.2877865193114999,0.20725024194211406,-0.5952470344667571,0.0,2114702.7724899612
Full-history AI/semis,5y,DCA 3m,251,0.48362864188519805,0.4572585586762227,0.2868889100014034,0.2021857695395204,-0.5952470344667571,0.21115537848605578,2003566.567270684
Full-history AI/semis,5y,DCA 6m,251,0.46490709403936514,0.44165597955632335,0.2739472327818957,0.18883412876482564,-0.5952470344667571,0.12749003984063745,1880304.3133987184
Full-history AI/semis,5y,DCA 12m,251,0.4278476203098811,0.41317851204332195,0.2589017010690553,0.16979771341019045,-0.5952470344667571,0.08764940239043825,1654196.287948348
Full-history AI/semis,5y,50% now + DCA 6m,251,0.4767753226380509,0.45254179498834674,0.27849218503847073,0.19601555242670798,-0.5914360388822832,0.09163346613545817,1957716.7847847757
Full-history AI/semis,5y,70% now + buy 10% dip/6m,251,0.49483935078456165,0.4663479821754918,0.2926612538506441,0.21066477522583393,-0.5952470344667571,0.3784860557768924,2080416.746354648
Full-history AI/semis,5y,Wait 5% dip/3m,251,0.4971537409005493,0.46742541224709694,0.2961371905108383,0.20253685445704317,-0.5952470344667571,0.50199203187251,2096571.7546230094
Full-history AI/semis,5y,Wait 10% dip/6m,251,0.4750820968155318,0.450349416012073,0.28202100049977896,0.2154199950090414,-0.5952470344667571,0.3784860557768924,1946519.1982432841
Full-history AI/semis,5y,Wait 20% dip/12m,251,0.374044972686544,0.3876015742814842,0.24321631471218375,0.13185274361554744,-0.5952470344667571,0.19123505976095617,1365156.587067804
Full-history AI/semis,5y,Trend entry 100d,251,0.47971230782157637,0.46411274704647626,0.2877865193114999,0.20725024194211406,-0.5952470344667571,0.01593625498007968,1977261.7378231823
Full-history AI/semis,5y,Buy lower: below 100d/6m,251,0.4576542825701446,0.4487834781056169,0.2634194448797047,0.18587552073230174,-0.5952470344667571,0.3705179282868526,1834215.6563994996
