strategy,date,action,basket_drawdown_from_1y_high,st_gain,lt_gain,portfolio_value
weekly_gate_10pct,2025-02-14,gld_to_basket,-0.07335149005750208,42838.12233838532,0.0,1474248.4350577614
weekly_gate_10pct,2025-02-28,basket_to_gld,-0.17430905142748876,-160618.10412470927,0.0,1312316.700602119
weekly_gate_10pct,2025-06-06,gld_to_basket,-0.08386885855548043,208907.96529499604,0.0,1519703.441231218
weekly_gate_10pct,2025-11-21,basket_to_gld,-0.17347289601260585,491348.17056456185,0.0,2009040.560183984
weekly_gate_10pct,2026-01-02,gld_to_basket,-0.09222812357822319,116188.36342803319,0.0,1925414.6997152606
weekly_gate_10pct,2026-01-09,basket_to_gld,-0.11282484580967589,-43686.341007512296,0.0,1879846.6303490405
weekly_gate_10pct,2026-01-16,gld_to_basket,-0.07875647110110118,30932.43841443071,0.0,1908868.289694708
weekly_gate_10pct,2026-03-06,basket_to_gld,-0.11477927717315206,-74641.27568846801,0.0,1832392.7869922337
weekly_gate_10pct,2026-03-13,gld_to_basket,-0.09347007521073358,-49030.518335962435,0.0,1781578.906387615
weekly_gate_10pct,2026-03-20,basket_to_gld,-0.11845668175935486,-49105.50656072213,0.0,1730740.926427066
weekly_gate_10pct,2026-04-10,gld_to_basket,0.0,99436.58744281926,0.0,1828347.3363560152
weekly_gate_10pct,2026-06-05,basket_to_gld,-0.11589152693629035,695405.4016595623,0.0,2521228.985277562
weekly_gate_10pct,2026-06-12,gld_to_basket,-0.0747127165136553,-61719.85563003179,0.0,2457049.6205178825
weekly_gate_15pct,2018-10-19,basket_to_gld,-0.1655113089515038,0.0,466017.03959337116,743998.4563937777
weekly_gate_15pct,2019-02-22,gld_to_basket,-0.13805633733515477,48788.53775385686,0.0,644556.364967532
weekly_gate_15pct,2019-03-08,basket_to_gld,-0.17994250283524804,-31322.226436121855,0.0,612620.9043928788
weekly_gate_15pct,2019-03-15,gld_to_basket,-0.12491403242064669,648.3532339500962,0.0,612655.988369202
