strategy,window,cagr,sharpe,max_drawdown,worst_12m,turnover,end_value
GLD_all_ai_20pct_from_21d_high_exit,2016-07-01_to_today,0.5938738918575577,1.7351506929606355,-0.31593029287088636,-0.25031666837099964,12.005759071027528,29113443.66131631
GLD_all_ai_25pct_from_21d_high_exit,2016-07-01_to_today,0.5927560857078331,1.7165933598991452,-0.3054680492731624,-0.2551910516893161,11.199737624120138,28910473.54703276
GLD_all_ai_10pct_from_63d_high_exit,2016-07-01_to_today,0.3870707523042003,1.4002464467697922,-0.2767968360115438,-0.25889344417708327,25.245768622911537,7281430.205476036
GLD_all_ai_15pct_from_63d_high_exit,2016-07-01_to_today,0.49087158503424466,1.5663192192611395,-0.3020801778564798,-0.28245784551145137,17.333240324628033,14954170.293691883
GLD_all_ai_20pct_from_63d_high_exit,2016-07-01_to_today,0.5725657454921358,1.713748427619958,-0.31237671480114837,-0.2401515056027157,12.509144135847086,25456839.801734228
GLD_all_ai_25pct_from_63d_high_exit,2016-07-01_to_today,0.5763660685658671,1.7031843776782167,-0.30225432015865383,-0.2531301584535026,11.708342718274018,26077024.66734753
GLD_all_ai_10pct_from_126d_high_exit,2016-07-01_to_today,0.3752333559315222,1.3913638896607707,-0.2738189834288478,-0.22497428440906087,24.4209610694207,6684946.221505593
GLD_all_ai_15pct_from_126d_high_exit,2016-07-01_to_today,0.47537723770925,1.5569517333201102,-0.3175383947504764,-0.2905777896250803,17.953378478969267,13474627.485238668
GLD_all_ai_20pct_from_126d_high_exit,2016-07-01_to_today,0.5674031262384678,1.7222885241252164,-0.3214916915296375,-0.24179232234045833,12.897841865163928,24635599.303613566
GLD_all_ai_25pct_from_126d_high_exit,2016-07-01_to_today,0.556753686552582,1.6769184807385378,-0.31244319651850716,-0.25697544261515903,12.201542147632424,23016395.855868064
GLD_all_ai_individual100_plus_qqq100_exit,2016-07-01_to_today,0.5363728379487511,1.6418744210774268,-0.267968662464687,-0.23870661032349016,21.036894008396775,20181966.22924803
GLD_all_ai_individual100_plus_qqq200_exit,2016-07-01_to_today,0.553562488107344,1.6787494831569603,-0.2748435963741537,-0.24859148456426916,17.83617799662008,22550195.329814762
BIL_floors_obey_100dma_gate,2016-07-01_to_today,0.5271298034241301,1.6085488470388676,-0.3063711454886995,-0.2388029098709975,11.518630710502253,19003324.979200624
GLD_floors_obey_100dma_gate,2016-07-01_to_today,0.5872617127461301,1.7118689352254919,-0.29370287660313377,-0.27285660437762704,11.518630710502253,27931198.170084406
