strategy_id,size_transform,earn_transform,momentum_power,top_n,cadence,return_mode,cagr,sharpe,max_drawdown,worst_12m,turnover,end_value
size=equal|earn=none|mom=1.0|top=5|weekly|overnight,equal,none,1.0,5,weekly,overnight,0.39718127880020115,2.0006512938942524,-0.17958519241844506,-0.11332819687763052,11.574037590269372,7828354.977122496
size=equal|earn=none|mom=1.0|top=5|weekly|intraday,equal,none,1.0,5,weekly,intraday,0.067228199802569,0.40205287087264235,-0.3772736848000121,-0.3627881822606236,11.574037590269372,533292.8112002318
size=equal|earn=none|mom=1.0|top=5|monthly|close,equal,none,1.0,5,monthly,close,0.5274034064711184,1.624694285517391,-0.30416735930251204,-0.20676875143098838,5.7632119682590135,19037304.371315584
size=equal|earn=none|mom=1.0|top=5|monthly|overnight,equal,none,1.0,5,monthly,overnight,0.41422578748480965,1.9940035437339967,-0.17417407592200562,-0.12428157571725507,5.7632119682590135,8834544.765578534
size=equal|earn=none|mom=1.0|top=5|monthly|intraday,equal,none,1.0,5,monthly,intraday,0.07296522708864117,0.4198772735211004,-0.4238159079080014,-0.40142709322012426,5.7632119682590135,562580.4097274739
size=equal|earn=none|mom=1.0|top=7|weekly|close,equal,none,1.0,7,weekly,close,0.47545397102598996,1.6068927136463964,-0.3168638340779476,-0.2257149262877367,11.162574462745361,13481617.70676017
size=equal|earn=none|mom=1.0|top=7|weekly|overnight,equal,none,1.0,7,weekly,overnight,0.3687841759664623,1.9828966260183016,-0.15885878032149958,-0.12781237048653016,11.162574462745361,6378820.881874725
size=equal|earn=none|mom=1.0|top=7|weekly|intraday,equal,none,1.0,7,weekly,intraday,0.06499181592656478,0.40397387469050344,-0.3672035645648879,-0.3630969844357269,11.162574462745361,522252.84786822234
size=equal|earn=none|mom=1.0|top=7|monthly|close,equal,none,1.0,7,monthly,close,0.48301249030347204,1.5931371042296907,-0.30223704706742127,-0.20195363401213529,5.60892855566235,14186386.798646837
size=equal|earn=none|mom=1.0|top=7|monthly|overnight,equal,none,1.0,7,monthly,overnight,0.3814716611162494,1.9671675172047094,-0.15591559103609876,-0.1321131951355342,5.60892855566235,6993573.563557161
size=equal|earn=none|mom=1.0|top=7|monthly|intraday,equal,none,1.0,7,monthly,intraday,0.06679047016790673,0.404931963822875,-0.41067065955789817,-0.3907428795223349,5.60892855566235,531115.5658730767
size=equal|earn=none|mom=1.0|top=10|weekly|close,equal,none,1.0,10,weekly,close,0.4598578326763514,1.61275404235443,-0.31038658517181994,-0.2205546551872174,10.958909668956135,12126045.479793731
size=equal|earn=none|mom=1.0|top=10|weekly|overnight,equal,none,1.0,10,weekly,overnight,0.3516065937767774,1.9773436374424793,-0.16001219096594277,-0.13256415492245588,10.958909668956135,5624009.155237589
size=equal|earn=none|mom=1.0|top=10|weekly|intraday,equal,none,1.0,10,weekly,intraday,0.06720615700641663,0.42049095834233596,-0.366757552024651,-0.36264807746351746,10.958909668956135,533182.9797219166
size=equal|earn=none|mom=1.0|top=10|monthly|close,equal,none,1.0,10,monthly,close,0.46040304928459763,1.574793141344325,-0.30223704706742105,-0.1992793216631682,5.380904895641299,12171282.855126113
size=equal|earn=none|mom=1.0|top=10|monthly|overnight,equal,none,1.0,10,monthly,overnight,0.3682088620165782,1.9642099075012267,-0.1592319811410885,-0.1445399180175787,5.380904895641299,6352134.878348131
size=equal|earn=none|mom=1.0|top=10|monthly|intraday,equal,none,1.0,10,monthly,intraday,0.06102519717338284,0.3849776231570796,-0.40535693698398645,-0.3931015229638265,5.380904895641299,503176.2163883837
size=equal|earn=none|mom=1.0|top=12|weekly|close,equal,none,1.0,12,weekly,close,0.45453654924743936,1.609148087513201,-0.3103865851718197,-0.22055465518721784,10.923791460052085,11692408.726942742
size=equal|earn=none|mom=1.0|top=12|weekly|overnight,equal,none,1.0,12,weekly,overnight,0.3487207088629176,1.9821458559470202,-0.15998112881032667,-0.13253207775786247,10.923791460052085,5505402.116579886
size=equal|earn=none|mom=1.0|top=12|weekly|intraday,equal,none,1.0,12,weekly,intraday,0.06562999244932421,0.41422776551730645,-0.36646748755511527,-0.36235613059875915,10.923791460052085,525382.0605796298
size=equal|earn=none|mom=1.0|top=12|monthly|close,equal,none,1.0,12,monthly,close,0.4564446815114198,1.5734856943980637,-0.30223704706742094,-0.20075098736160346,5.381227560858944,11846272.729520516
size=equal|earn=none|mom=1.0|top=12|monthly|overnight,equal,none,1.0,12,monthly,overnight,0.3663515399726742,1.9691940997584143,-0.15923198114108872,-0.14453991801757893,5.381227560858944,6266666.948273337
size=equal|earn=none|mom=1.0|top=12|monthly|intraday,equal,none,1.0,12,monthly,intraday,0.059549890561414465,0.37928335762706417,-0.4062513520658817,-0.39403489501699807,5.381227560858944,496242.5778738692
size=equal|earn=none|mom=1.5|top=5|weekly|close,equal,none,1.5,5,weekly,close,0.5152584054289384,1.605506575579156,-0.3335385894176298,-0.22802126054624317,11.797692110034575,17580500.30801463
size=equal|earn=none|mom=1.5|top=5|weekly|overnight,equal,none,1.5,5,weekly,overnight,0.4027688848063471,2.0001855050271997,-0.17840210261890144,-0.11349297927583057,11.797692110034575,8146217.940220137
size=equal|earn=none|mom=1.5|top=5|weekly|intraday,equal,none,1.5,5,weekly,intraday,0.06605742360285216,0.39470914291590153,-0.3857299461236565,-0.3690935576249147,11.797692110034575,527487.3340984065
size=equal|earn=none|mom=1.5|top=5|monthly|close,equal,none,1.5,5,monthly,close,0.534273209002206,1.6191827832549093,-0.30549051170834984,-0.2168879389314725,5.859136604137691,19908602.872167647
size=equal|earn=none|mom=1.5|top=5|monthly|overnight,equal,none,1.5,5,monthly,overnight,0.42112478601463743,1.9924200458296848,-0.1781151542200362,-0.12345814392676457,5.859136604137691,9273850.463744568
size=equal|earn=none|mom=1.5|top=5|monthly|intraday,equal,none,1.5,5,monthly,intraday,0.07236585121714145,0.414652312849419,-0.4199897052574486,-0.3963836186783284,5.859136604137691,559454.3154960335
size=equal|earn=none|mom=1.5|top=7|weekly|close,equal,none,1.5,7,weekly,close,0.48680336879631714,1.6057216913647014,-0.32179590869457564,-0.22419872221290094,11.445748972188396,14552187.291488275
size=equal|earn=none|mom=1.5|top=7|weekly|overnight,equal,none,1.5,7,weekly,overnight,0.37973406978565083,1.995570433044335,-0.15995657837224053,-0.12538429612947843,11.445748972188396,6906347.252576245
