Date,AAPL,ADBE,AMD,AMZN,ANET,AVGO,BIL,CEG,CRM,GEV,GOOGL,IEF,META,MRVL,MSFT,MU,NFLX,NVDA,ORCL,QCOM,QQQ,SNDK,SPY,STX,TSLA,VRT,VST
2015-12-10,26.144153594970703,88.95999908447266,2.450000047683716,33.11600112915039,4.40625,11.186899185180664,73.61376190185547,,78.030029296875,,37.66798782348633,83.68435668945312,104.50231170654297,7.679895401000977,48.1804313659668,14.297710418701172,12.291000366210938,0.8034871816635132,32.63026428222656,36.27691650390625,104.90406799316406,,172.5335235595703,22.686140060424805,15.137999534606934,,
2015-12-11,25.471250534057617,91.41999816894531,2.359999895095825,32.00749969482422,4.221250057220459,10.965944290161133,73.62989044189453,,75.56272888183594,,37.19121551513672,84.35478210449219,101.23103332519531,7.506598949432373,47.12563705444336,13.693032264709473,11.890999794006348,0.7915492057800293,31.792924880981445,35.447853088378906,102.48961639404297,,169.18968200683594,22.53582000732422,14.468000411987305,,
2015-12-14,25.3137149810791,93.26000213623047,2.3399999141693115,32.89550018310547,4.398749828338623,10.820913314819336,73.62989044189453,,75.68069458007812,,37.791893005371094,83.73170471191406,103.74891662597656,7.387153148651123,48.0671272277832,13.32242202758789,12.067000389099121,0.7934983372688293,32.16888427734375,34.9773063659668,103.26667022705078,,170.0445098876953,21.088970184326172,14.571999549865723,,
2015-12-15,24.865863800048828,94.0199966430664,2.359999895095825,32.93199920654297,4.488124847412109,10.878619194030762,73.61376190185547,,76.0542221069336,,37.670467376708984,83.51874542236328,103.63990020751953,7.570913314819336,48.119407653808594,13.829572677612305,11.859999656677246,0.8032434582710266,32.64734649658203,35.866111755371094,103.89573669433594,,171.82960510253906,21.452251434326172,14.739333152770996,,
2015-12-16,25.05715560913086,95.55999755859375,2.5399999618530273,33.78850173950195,4.474999904632568,10.958595275878906,73.62989044189453,,77.54837799072266,,38.48821258544922,83.29789733886719,105.8603744506836,7.864930152893066,48.930110931396484,13.7222900390625,12.263999938964844,0.8081162571907043,33.24544906616211,35.90345764160156,105.44062805175781,,174.34376525878906,21.78420639038086,15.633999824523926,,
2015-12-17,24.52604103088379,94.19999694824219,2.559999942779541,33.532501220703125,4.553750038146973,10.699633598327637,73.61376190185547,,77.09619903564453,,38.15318298339844,83.64495086669922,105.29534912109375,7.7822370529174805,48.555274963378906,13.966111183166504,12.25100040435791,0.7959346175193787,31.55368995666504,35.507598876953125,103.90501403808594,,171.68711853027344,21.24555778503418,15.559332847595215,,
2015-12-18,23.862140655517578,91.30999755859375,2.450000047683716,33.207000732421875,4.39187479019165,10.678308486938477,73.62989044189453,,75.72000885009766,,37.5098876953125,83.94465637207031,103.13431549072266,7.874116897583008,47.18666076660156,14.00512409210205,11.802000045776367,0.7830225229263306,31.058137893676758,35.425445556640625,101.91183471679688,,168.6284942626953,21.358291625976562,15.36400032043457,,
2015-12-21,24.154706954956055,91.62000274658203,2.5299999713897705,33.22549819946289,4.472499847412109,11.10483169555664,73.61376190185547,,75.97557830810547,,37.70566177368164,83.98410034179688,103.85794830322266,7.855738639831543,47.796878814697266,14.404993057250977,11.663000106811523,0.8015380501747131,31.117935180664062,36.41881561279297,103.04389190673828,,170.01953125,21.73410415649414,15.503999710083008,,
2015-12-22,24.132198333740234,93.81999969482422,2.7699999809265137,33.157501220703125,4.546875,11.05151653289795,73.61376190185547,,76.535888671875,,38.01937484741211,83.7474594116211,104.5915298461914,7.975184440612793,48.25019454956055,14.248944282531738,11.62399959564209,0.8022691607475281,31.263195037841797,36.65034866333008,103.72126770019531,,171.5623016357422,22.203853607177734,15.329999923706055,,
2015-12-23,24.442764282226562,94.69999694824219,2.8299999237060547,33.185001373291016,4.671875,11.15890884399414,73.61376190185547,,76.71282196044922,,38.08776092529297,83.55818176269531,103.71918487548828,8.214072227478027,48.659881591796875,13.946609497070312,11.815999984741211,0.8054361343383789,31.55368995666504,36.627952575683594,104.49140930175781,,173.686767578125,22.936677932739258,15.313332557678223,,
