Date,AMD,ANET,AVGO,BIL,CEG,GEV,INTC,MRVL,MU,NBIS,NVDA,QQQ,SMCI,SNDK,STX,VRT,VST
2015-01-22,2.4700000286102295,3.96875,7.917160987854004,73.69437408447266,,,28.318435668945312,14.103940963745117,30.126619338989258,,0.4948849678039551,95.5624008178711,3.687999963760376,,38.30604553222656,,
2015-01-23,2.450000047683716,3.963124990463257,8.051119804382324,73.71045684814453,,,27.965503692626953,13.951128005981445,30.185138702392578,,0.49632298946380615,95.77369689941406,3.634999990463257,,38.33000564575195,,
2015-01-26,2.609999895095825,4.021874904632568,8.032305717468262,73.71045684814453,,,27.4744873046875,14.050004005432129,30.253406524658203,,0.4941660761833191,95.6634521484375,3.6710000038146973,,35.38248062133789,,
2015-01-27,2.700000047683716,3.976249933242798,7.8863043785095215,73.71045684814453,,,26.231563568115234,13.915166854858398,28.917266845703125,,0.4704402983188629,93.18324279785156,3.7330000400543213,,34.19026565551758,,
2015-01-28,2.630000114440918,4.089375019073486,7.902106285095215,73.69437408447266,,,25.917003631591797,13.75336742401123,28.380857467651367,,0.4627714455127716,92.70551300048828,3.739000082015991,,34.465858459472656,,
2015-01-29,2.609999895095825,3.966249942779541,8.017254829406738,73.69437408447266,,,26.246910095214844,13.726396560668945,28.97577667236328,,0.4740351140499115,93.59662628173828,3.7869999408721924,,35.166786193847656,,
2015-01-30,2.569999933242798,3.944999933242798,7.74255895614624,73.69437408447266,,,25.349258422851562,13.92415714263916,28.546655654907227,,0.46013519167900085,92.87091827392578,3.6570000648498535,,33.812843322753906,,
2015-02-02,2.6700000762939453,3.916249990463257,7.707942485809326,73.69437408447266,,,25.8172607421875,13.843255996704102,27.73716926574707,,0.47020068764686584,93.67928314208984,3.6470000743865967,,34.627601623535156,,
2015-02-03,2.759999990463257,3.919374942779541,7.76664400100708,73.71045684814453,,,25.85562515258789,14.328667640686035,28.23456382751465,,0.48194366693496704,94.57955169677734,3.5880000591278076,,35.49629592895508,,
2015-02-04,2.8499999046325684,3.8037500381469727,7.88705587387085,73.69437408447266,,,25.963804244995117,14.499456405639648,28.312583923339844,,0.48314201831817627,94.49684143066406,3.569000005722046,,35.90367889404297,,
2015-02-05,3.309999942779541,3.78125,7.992417812347412,73.69437408447266,,,26.226539611816406,14.54440975189209,28.76121711730957,,0.49105072021484375,95.31439208984375,3.6640000343322754,,36.191246032714844,,
2015-02-06,3.0299999713897705,3.544374942779541,7.882540225982666,73.69437408447266,,,25.73198890686035,14.589357376098633,28.1955509185791,,0.4888935089111328,94.7356948852539,3.7130000591278076,,36.233558654785156,,
2015-02-09,3.0399999618530273,3.75,7.694394111633301,73.67828369140625,,,25.446081161499023,14.445524215698242,27.649394989013672,,0.4884142279624939,94.43252563476562,3.7190001010894775,,36.51162338256836,,
2015-02-10,3.0399999618530273,3.9418749809265137,8.055634498596191,73.69437408447266,,,26.041086196899414,14.697223663330078,30.321678161621094,,0.5020747184753418,95.90234375,3.9200000762939453,,36.390724182128906,,
2015-02-11,3.069999933242798,3.844374895095825,8.12336540222168,73.67828369140625,,,25.92517852783203,14.706212997436523,30.253406524658203,,0.4987196624279022,96.25138854980469,3.9189999103546143,,36.753421783447266,,
2015-02-12,3.119999885559082,3.811875104904175,8.255821228027344,73.67828369140625,,,26.37335968017578,14.841046333312988,31.15066909790039,,0.5344278216362,97.37207794189453,4.004000186920166,,36.971031188964844,,
2015-02-13,3.1500000953674316,3.9331250190734863,8.289688110351562,73.69437408447266,,,26.55108642578125,14.9129638671875,31.062896728515625,,0.5346674919128418,98.20801544189453,3.9739999771118164,,37.38209533691406,,
